Nr,ID próbki,Typ,Gęstość,S (%),Ar (%),R (%),As (%),CII
1,GU,light,0.7749,62.23,23.82,12.55,1.40,1.75
2,CU,light,0.7841,82.95,7.73,8.92,0.43,5.01
3,LU/LW,light,0.7952,77.37,14.57,7.25,0.77,3.58
4,CP/CO,light,0.7982,58.30,29.60,10.38,1.72,1.50
5,R8/RB8,light,0.8098,53.20,43.45,2.37,0.98,1.18
6,BA,light,0.8111,62.55,32.72,4.13,0.38,1.71
7,R3/RB3,light,0.8123,53.28,36.37,6.65,3.33,1.32
8,IT/WM,light,0.8124,54.33,39.07,5.60,0.97,1.24
9,YO,light,0.8222,54.20,30.30,14.20,1.23,1.25
10,OB,light,0.8228,49.20,32.64,16.04,2.10,1.05
11,KA,medium,0.8235,46.02,38.47,6.28,9.25,1.24
12,OS,medium,0.8248,47.10,35.50,11.27,6.10,1.14
13,GO,medium,0.8250,61.75,30.85,6.08,1.32,1.71
14,G1*,medium,0.8340,56.43,34.60,3.72,5.22,1.61
15,AZ,medium,0.8345,51.27,26.05,21.10,1.62,1.12
16,LA,medium,0.8371,39.88,32.85,18.98,8.28,0.93
17,GI,medium,0.8396,38.95,47.92,10.62,2.52,0.71
18,GE/LN,medium,0.8403,55.05,32.48,5.27,6.75,1.64
19,ES,medium,0.8455,36.83,35.62,21.35,6.20,0.76
20,NV/NP,medium,0.8475,63.95,28.00,7.77,0.30,1.80
21,TR/TL,medium,0.8520,42.87,37.22,17.15,3.60,0.85
22,AL,medium,0.8590,21.33,59.50,9.05,10.10,0.46
23,AL1,medium,0.8606,22.07,63.35,7.00,7.58,0.42
24,AL2,medium,0.8594,21.05,64.40,6.43,8.12,0.41
25,WE,medium,0.8635,26.98,41.53,18.92,12.60,0.65
26,FO,medium,0.8652,37.43,40.52,17.35,4.70,0.73
27,EM,medium,0.8706,25.40,30.73,30.23,13.67,0.64
28,RP1,medium,0.8735,22.48,59.18,10.57,7.80,0.43
29,RA/RO,medium,0.8741,21.52,53.57,14.45,10.43,0.47
30,RU/RO,medium,0.8741,19.23,58.85,14.15,7.80,0.37
31,NO,heavy,0.8749,50.10,41.97,6.20,1.70,1.08
32,G2,heavy,0.8760,32.10,51.17,11.47,5.25,0.60
33,JC,heavy,0.8768,36.53,41.80,19.62,2.05,0.63
34,RP/RO,heavy,0.8770,19.97,58.72,10.80,10.55,0.44
35,K1,heavy,0.8789,17.07,55.68,10.03,17.22,0.52
36,KI/KK,heavy,0.8793,18.27,60.35,10.32,11.07,0.42
37,JS,heavy,0.8815,20.10,51.80,21.20,6.97,0.37
38,G1,heavy,0.8840,28.05,48.82,17.75,5.38,0.50
39,EG,heavy,0.8876,43.43,42.72,12.93,0.92,0.80
40,CA/CR,heavy,0.8922,44.90,40.70,11.57,2.85,0.91
41,ML,heavy,0.8949,46.48,46.98,5.30,1.60,0.92
42,SC,heavy,0.9034,42.43,43.88,9.85,3.83,0.86
43,HI,heavy,0.9069,33.35,48.62,15.03,2.97,0.57
44,LO,heavy,0.9084,24.18,44.43,27.15,4.23,0.40
45,C1,heavy,0.9098,23.38,44.97,19.45,12.17,0.55
46,AR,heavy,0.9120,21.02,63.85,10.68,4.07,0.34
47,CL,heavy,0.9123,23.23,46.22,17.57,12.97,0.57
48,HE,heavy,0.9317,25.32,50.47,17.57,6.63,0.47
49,EB/EK,heavy,0.9478,19.15,52.13,26.33,2.40,0.27
50,HA,heavy,0.9478,7.45,52.28,20.95,19.32,0.37
51,ME,heavy,0.9590,6.37,42.48,28.12,23.02,0.42