ID_1,P_Value1,%_1,ID_2,P_Value2,%_2,ID_3,P_Value3,%_3,P_Value_res
EKO,0,15,JS,3.5,42.5,AL,2.31,42.5,3.35
EKO,0,30,JS,3.5,35,AL,2.31,35,3.19
EKO,0,45,JS,3.5,27.7,AL,2.31,27.5,2.79
UG,4.63,30,JS,3.5,35,AL,2.31,35,4.23
UG,4.63,50,JS,3.5,25,AL,2.31,25,3.63
UG,4.63,70,JS,3.5,15,AL,2.31,15,3.54
BR,5.47,25,JS,3.5,37.5,AL,2.31,37.5,2.93
BR,5.47,50,JS,3.5,25,AL,2.31,25,3.05
BR,5.47,75,JS,3.5,12.5,AL,2.31,12.5,2.97
BT,4.23,10,JS,3.5,45,AL,2.31,45,3.07
BT,4.23,20,JS,3.5,40,AL,2.31,40,2.76
BT,4.23,30,JS,3.5,35,AL,2.31,35,2.75
TR,2.5,20,JS,3.5,40,AL,2.31,40,2.81
TR,2.5,30,JS,3.5,35,AL,2.31,35,2.82
TR,2.5,40,JS,3.5,30,AL,2.31,30,3.02
SH,0,25,JS,3.5,37.5,AL,2.31,37.5,2.98
SH,0,50,JS,3.5,25,AL,2.31,25,2.74
SH,0,75,JS,3.5,12.5,AL,2.31,12.5,2.54
OS,0,10,JS,3.5,45,AL,2.31,45,2.95
OS,0,20,JS,3.5,40,AL,2.31,40,3
OS,0,30,JS,3.5,35,AL,2.31,35,3
OS,0,40,JS,3.5,30,AL,2.31,30,3.04
OS,0,50,JS,3.5,25,AL,2.31,25,3.1
FO,0,10,JS,3.5,45,AL,2.31,45,3.1
FO,0,20,JS,3.5,40,AL,2.31,40,3.1
FO,0,30,JS,3.5,35,AL,2.31,35,3.2
FO,0,40,JS,3.5,30,AL,2.31,30,3.25
IT,1.1,25,JS,3.5,70,AL,2.31,5,3.12
IT,1.1,20,JS,3.5,70,AL,2.31,10,3.16
IT,1.1,15,JS,3.5,70,AL,2.31,15,3.21
IT,1.1,30,JS,3.5,60,AL,2.31,10,2.8
IT,1.1,30,JS,3.5,50,AL,2.31,20,3.01
IT,1.1,30,JS,3.5,40,AL,2.31,30,2.85
IT,1.1,30,JS,3.5,30,AL,2.31,40,2.58
IT,1.1,30,JS,3.5,20,AL,2.31,50,2.44
IT,1.1,30,JS,3.5,10,AL,2.31,60,2.39
EK,2.37,10,RO,2.25,60,WM,1,30,2.05
EK,2.37,10,RO,2.25,40,WM,1,50,1.87
EK,2.37,10,RO,2.25,10,WM,1,80,1.67
EK,2.37,10,RO,2.25,60,EF,1,30,1.91
EK,2.37,10,RO,2.25,40,EF,1,50,1.83
EK,2.37,10,RO,2.25,10,EF,1,80,1.57
EK,2.37,10,RO,2.25,20,KK,1.87,70,2.43
EK,2.37,10,RO,2.25,50,KK,1.87,40,2.33